Image_id,Image_name,Level1,Level2,label,text
12,012.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ணத க feats பட்டயம் ம A பிரதமர் மோடியை ட னு த் திரும பெற 4 னு ம அதிக ப்பட் படம் ட air ர ந ் ae ளை இலகு Ces 6 வர EEA டட திருப்பிக் கலாய்க்கலாம்ணு பாத்தா இப்போ இவன் எந்தக் கட்சில இருக்குறான்ணு தெரியலையே
13,013.jpg,Troll/Oppose,Troll/Oppose Against Party,1,வடக் தமிழ்நாட்டில் ஒவ்வொரு ன குடும்பத்தின் மீதும் 7 ரூ 2 63 976 கடன் சுமை 4 உள்ளது வெள்ளை அறிக்கையில் நிதியமைச்சர் ர ௭ இ௲திபழனிவேல் தியாகராஜன் தகவ 1 1 தடை a கட EY ன்ன ன ய டி மு பதத க் எட ரர டா 1711 த்தி ச் AT P ee ௮ த மடன் Cie அணு ikea a ப தனை Me gO தமய A i SME AM OTT Ay Wika அமை த 0 நத்தை ட இட்ட பட் a
14,014.jpg,Troll/Oppose,Troll/Oppose Against Person,1,௩ காந்தி எப்படி தற்கொலை அப 7 செய்து கொண்டார் குஜராத் பள்ளி தேர்வில் 4 கேட்கப்பட்ட கேள்வியால் அதிர்ச்சி ப்ர ் Pra 4 ல 8 7 இ se By Mata கோட்சே துப்பாக்கி சுடும் பயிற்சி எடுக்கும் போது குறுக்க போயிருப்பார்னு நினைக்குறேன் சார்
16,016.jpg,Troll/Oppose,Troll/Oppose Against Person,1,கொஞ்சம் வெயிட் பண்ணிருந்தா கைலாசா வாங்குன பாதி காசுக்கே இந்தியாவ வாங்கிருக்கலாம் பே ம ஓ An அல் 5 at we ௫ bam ne ச்
17,017.jpg,Troll/Oppose,Troll/Oppose Against Person,1,அய்யர் பசங்கள மட்௫ம் பாஸ் போட்டஎடப்பாடி பழனிச்சாமி Lido eos னேண்௫ம் se aie a ald a 4 Wee ர ou ண்ண ல் a PS 502 0 CEN Mime fo 7 அய்யர் இல்ல அரியர்
18,018.jpg,Troll/Oppose,Troll/Oppose Against Party,1,பெட்ரோல் விலையை ஏன்டா கூட்டுறீங்கன்னு கேட்டா பெட்ரோல் உபயோகத்தை குறைப்பதற்காகன்னு சொல்றானுங்க ஈ கடத ச ௫ id my ் ப் 1 A Be ௩ Es 2 ரக 2 ஐ oe ௫ Wo தட டத ௫ அகி ok iS ் 4 eg ச 5 ன ய் ட ன R et ப ர சரி கேஸ் விலையை ஏன்டா கூட்டுறீங்கன்னு கேட்டா திங்குறதை குறைங்கடான்னு சொல்லுவானுங்க போல
19,019.jpg,Troll/Oppose,Troll/Oppose Against Party,1,சமையல் எரிவாயு சிலிண்டர் விலை மேலும் ரூ 25 உயர்வு Qe Te re ar S ர ற் A He ப ௬ ந 7 து அ os ர உ ஒருவேளை சோறு நிம்மதியா திங்க விடுறீங்களேடா பெட்ரோல் விலை உயர்வு சிலிண்டர் விலை உயர்வுன்னு மக்கள் தாலியை அறுக்குறீங்களேடா
20,020.jpg,Troll/Oppose,Troll/Oppose Against Person,1,Cee அடிக்க்றங்க a i டீ வித்தவன் இன்னைக்கு நாட்டையே விக்கிறானே இது வளர்ச்சி இல்லையான்னு கேட்குறாம்பா
21,021.jpg,Troll/Oppose,Troll/Oppose Against Party,1,திருவனந்தபுரம் விமானநிலையத்தை அதானிக்கு விற்கும் விலைக்கே கேரளா அரசு வாங்கிக்கொள்ளும் அர் இர இ a மடம் மீம்ஸ் re ள் நாங்கள் வாங்க தயார் மத்திய அரசு விற்க தயாரா பினராயி விஜயன் கேள்வி
22,022.jpg,Troll/Oppose,Troll/Oppose Against Person,1,வியாபாரிகள் பழைய பொருளை தள்ளுபடி செய்து வித்தா அது ஆடி மொத்த நாட்டையே வியாபாரிகளுக்கு தள்ளுபடி செய்து வித்தா அது மோடி படித்ததில் பிடித்தது இ ர ரபா 2 a nN 14 யு சி
26,026.jpg,Troll/Oppose,Troll/Oppose Against Party,1,இ த a உ bei ண் BS 5 i sal an Be osslugonayy ௯௯ 3 ஆ a அணைகள் இடு ee எல்லாரும்நல்ல ம் ஆ een ot ப் ட மணன் பதத தத்தை Cy வ பரப டகர ய ட இனா ee ந ல் ௩ இத இ ன் இ Z இட இ O Ze See a டட ர ரதம் க் in uy a ௮21 சட் x eee ஆட்டுக்கு தாடியும் நாட்டுக்கு ஆளுநரும் தேவையில்லை yi 3 oF ian ந் து இருப்ப A a pe 20 ந்து oo Ooh NC eee அதை அதைத் 226சாமஇருங்க முற்போக்காளரே Theonline community hub mathi for Tamils across the world
27,027.jpg,Troll/Oppose,Troll/Oppose Against Person,1,் டத் Te அரசு 43 ae R rae a ததத 2017 ய் தத்தத் சத உங்களுக்கு என்ன பிரச்சனைனாலும் அதை ஆளுநர்கிட்ட சொல்லுங்க அதை தீர்த்து வைக்க தான அவர் இருக்காரு aT ond ௭ ் தே ட றி 1 தா சத தா 4 Vie gar elf இ பட we a THUS த ர் ம் லட ஆ அந்த பிரச்சனையே ஆளுநர் தானே The online community hub mat i for Tamils across the world
28,028.jpg,Support/Praise,Support for person,1,ுயிழக அரசியலில் ரஜினி புஸ்வாணமாகி பயக்க படட ர் P 1 ஏத or 4 ca ae ரர அம ப வத பபா அனா ன வெடிக்குமா வெடிக்காதான்ணு
30,030.jpg,Troll/Oppose,Troll/Oppose Against Person,1,we மழல்வாதிகளுக்கு ட்ட URI a த நம்பப் aon
31,031.jpg,Troll/Oppose,Troll/Oppose Against Person,1,த சிலிண்டர் விலை உயர்வால் a BY 1 q விறகடுப்புக்கு மாறும் குடும்பங்கள் ் ் ் WwW get ப் ப ற த்ர ் ட Zz 8 eo தமிழ்நாடு மக்களின் வாழ்வாதாரம் எப்படி இருக்கிறது தீ MiP Ly தமிழ்நாட்டில் 90 குடும்பத்திற்கு ரூர் ah ச்ச Ve 2 உ மேல் செல்போன் வைத்திருக்கிறார்கள் een oe 77 தததி க தமிழ்நாடு ஏழை மாநிலம் அல்ல ப பதத்தை அடத ன வளர்ந்த மாநிலம் ன ள் அ அதத த ௪ ் Sew SE ட அக கலி ௫ னு ல anor S ன 4 _ 7 Pat et ட் ரன 4 ந ட எனு w eee உ த a a ன ரூ ட் இ று இழி ் நடம் ப டர த நட் ச அடு தீது ங் கட அத வ் ae 7 PF ் ம லப் பில டமா த ் க _ தகு 212 யாய அப்போ பணக்காரன் னா நாணு
32,032.jpg,Troll/Oppose,Troll/Oppose Against Party,1,Fe Um ப்பட்ட தடவிய டடத பல்க் பத ம நி வில ந்து டதத அகபா aC பாம ere இ on ஆ can a aN தட் 140 ப ் 4 Be 2 EG Oe ஆ அல் 2 மத ப்பட் 1 Be தள பஇட்ட் 3 i ட hs oe ie 1 eee oe Hei lag 1
34,034.jpg,Troll/Oppose,Troll/Oppose Against Party,1,த பட்டத nu பண்ட பசல் ஆன 5 nic er en இச 2S see ae ay ae ee ணன் பதறி ச ட்டி ௫ சப்த a ee
35,035.jpg,Troll/Oppose,Troll/Oppose Against Person,1,அண்ணாமலையும் வந்தாச்சு அண்ணாமலை ஸீரோயினும் வந்தாச்சு தண 1 A FS Olea LAM 121 உ NR ப rat ஷூ க ட தனை 1 உ 2 பனு a 8 SS ய 2 4 7 Oe wy ye mK ஜு ் டட ua டு a த்த சந EB கதி அததைதகி பாஜக ae ig a இ தட இ ர ப் பிறகென்ன அண்ணாமலை 127௦ மட்டும் தான் இன்னும் பாக்கி
36,036.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ஆர் கே நகர் பக்கம் போக தினகரன் பயப்படுகிறார் செய்தி i r ௪ 2 5 at 4 4 i 7 இ fy 1 12 men ட்ட a onetfpy es சகட ஆ டண rr Sern ம் ஆணட பத் 1 தூ னை ட ஆள் இதத் ny hee ் த நீ போவடா நான் எப்படிப் போவேன் போனா காசு கேப்பாய்ங்கடா காசு சேப்பாய்ங்க
37,037.jpg,Troll/Oppose,Troll/Oppose Against Party,1,பரவு ணட வு 4 ry க் af ட இது mS re sa ho 7 ம் iH Ne Ny S N ட் ans La ஜு 1 இட ஆ _ அடாடா Se
38,038.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ஜெயலலிதாவின் தோழி சசிகலா சின்னம்மா ஆனார் மாஜி தோழியோ அம்மா வானார் 4 அடை ் 4 7 ட ட ஆ at joe aa 2 ட ௫ ் பை உ x இன்னும் எத்தனை அம்மாவை பார்க்கணுமோ தமிழ்நாடு தாங்குமா மக்களே
40,040.jpg,Troll/Oppose,Troll/Oppose Against Person,1,டோணி கேப்டன் பதவியிலிருந்து விலகினார் கோஹ்லி கேப்டனாகிறார் ஆ ர அ ட தந்தனத் ் 2 fon இ ௩ b 7 பங a Of டோணிக்குப் பின் கோஹ்லிதான் என்பதற்கு ஸ்ரீராம் சிட்ஸ் ஆவணத்தில் ஆதாரம் உள்ளது
41,041.jpg,Troll/Oppose,Troll/Oppose Against Person,1,உள்ளாட்சித் தேர்தலில் அதிமுக திமுகவுக்கு பாஜக கடும் சவாலாக இருக்கும் தமிழிசை ப அழுது எழத அ al aN Te ee i on b 3 ட்ட fee fl ் ட கக் பூ இர நட்ட பி நக ட் பத நகா் பஷ அதற A e சிய இடும் ot Mica ம rE 4 ௬ ஆம் டு சவால் சாஸ்தியா இருக்குமாமேடஈ ரெடியாய்க்கோடா சூனா பானா
42,042.jpg,Troll/Oppose,Troll/Oppose Against Person,1,eM அ Oe MCN ol 7 ல் ம் து இ இ ஸ்டாலின் aie r ப ர் ச pore 4 ஏன் டாடி இது நியாயமா சிஎம் னா நீங்க று ஆப்போசிசன் லீடர் மட்டும் நானா
43,043.jpg,Troll/Oppose,Troll/Oppose Against Person,1,தலிட்டுக்கு ஆசைப்படும் குருட்டு கோழி விஜயகாந்த் ராமராஜன் AA py Ot Aen ey த்தை ள் ் ர a 5 7 இ ட கட்ச் ரது ட H 1 ல ௫ ர் ர yx ட en ஆ 1 ட ட 3 ் ed ஆஹ் அ பப ர f x 5 தி இன்னும் தவிடு கோழினு எங்க ஊரு பாட்டுக்காரனா த் தான் இருக்கீங்க போலயே
44,044.jpg,Troll/Oppose,Troll/Oppose Against Person,1,வத கட உடல பப்பி பூங்காவாக திகழ்கிறது சென்னையில் ஜெ a னன் a pers வகர ப 7 Pacem oo ore Fee கக அட ப 2 பம i லக அனை ட் ட ன் ர ப ட அட து யப ட tee தைய ப்ரா அன் னி 3 ஸர் ெ ட Soya OnE OIL உ சம்பர் மாசம் போட்ல அமைதிப் பூங்கா வைச் ப்பட ளா அ
45,045.jpg,Troll/Oppose,Troll/Oppose Against Person,1,கருத்துக் கணிப்புகள் பொய்த்துப் போகும் என்பதில் ை சந்தேகம் இல்லை தமிழிசை yw a B ட roy ஷூ dit ட ஆட 5 தி y a இ SING Clas SZ ive இடி ஸர் ச on ஜ் ர் டல ae Prk ee SR se SNe PE a ST அதான பாஜகவுக்கும் 2 3 இடம் கிடைக்கும்னு _ சொல்வியிருக்காங்களே 1
46,046.jpg,Troll/Oppose,Troll/Oppose Against Person,1,சொன்னீங்களே செஞ்சீங்களா மக்களுக்காகவே நான் Se ce eee Ur es ea uf sg ht ட சால்பு ப ப ம் lars ஏம்ப்பா என்னை மார்ஸ் ல கொண்டு போய் டிராப் பண்ணிடுறியா
47,047.jpg,Troll/Oppose,Troll/Oppose Against Person,1,0121 1 பல்ராம் iGeweronenny atiyd Gane ரர ney _ P ஆ ட இது ௩ ச் ae தம்பியே சொல்லிடுச்சு கபய போய் எல்லாரும் யார் படட மது
51,051.jpg,Troll/Oppose,Troll/Oppose Against Person,1,போடியில் தப்பிப் பிழைக்கிறார் ஓபிஎஸ் நியூஸ் 7 கணிப்பு யானா ஆது Me 5 Spa ட இர த் ் பரவால்லை குருநாதா எப்படியோ தப்பிப் பொழச்சுட்டீங்க
53,053.jpg,Troll/Oppose,Troll/Oppose Against Person,1,குட்சித்தலைமை அழைத்தால் அதிமுகவிற்கு பட்டமா த ட்ட டப யப EE 2 eS ae TF iy wos ae Tey ஒடு hs ம 5 ட Zz ் ர க y yo Gi 4 ர ப oN ry 9 கு கு A i 5 a Ey BT ம் 8 7 a நெட்டி சன்ஸ் வச்சு செய்ய வீ ஆர் வெயிட்டிக்
54,054.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ps ட் ms 406 ரி ட டதத தர ப அப்ப 1 _ ஷ்ண _ i a al அண த ra er 4
55,055.jpg,Troll/Oppose,Troll/Oppose Against Party,1,ஜி கே வாசனுக்கு கதவை மூடிய திமுக அதிமுக ர ் கி ப a அரி a நசி ங் து if அந்த வாசனை நம்பி எல்லாரும் போறாங்க என்னை நம்பி யாரும் வரலையே
57,057.jpg,Troll/Oppose,Troll/Oppose Against Person,1,விஜயகாந்த் முதல்வர் நாற்காலியில் அமர வேண்டும் வைகோ தம் ௭ இதி y சட a ம ss ழீ 2 xa s Ee கன்பியூஸன் ஆப்தி கான்ஸ்டிபேஷன் ஆப் தி ஜூஸ் மோஷன்
58,058.jpg,Troll/Oppose,Troll/Oppose Against Person,1,லோக்சபாவில ஜெ வை பாராட்டிய பியுஷ் கோயல் இப்போது குறை கூறுவது நாலாந்தர அரியல் நத்தம் விஸ்வநாதன் i அடி எச்டி பூ ஈய வன ப் இ த f ன் ட ௪ ஏ ப் அது வேற வாயி இது நாற வாயி
59,059.jpg,Troll/Oppose,Troll/Oppose Against Person,1,பப்ப இர CUES கண்டெய்னர்களில் போன பணம் வைகோ பரபரப்பு புகார் 28h கி ry டய ர என்னங்க சொல்றீங்க பப பபர்பா பபாய்
60,060.jpg,Troll/Oppose,Troll/Oppose Against Person,1,அண்ணாமலையும் வந்தாச்சு அண்ணாமலை ஸீரோயினும் வந்தாச்௬ு ண த ம் W Wa a fy ry 4 ் ப nq i j ட வு ட தகக அட ட இ அரசியல் விமர்சகர் a ம் ௮ அனை உணர் இது ட த ் ௩ aw Cj ம ae OO e hab 3 ta on ௫ ய டி ஆ ie a se ட் 14 Se 9 நன்கு அ es fy ப 2 matt ் phate க NTN fo பிறகென்ன அண்ணாமலை 112௦ மட்டும் தான் இன்னும் பாக்கி
62,062.jpg,Troll/Oppose,Troll/Oppose Against Party,1,பத பப்படம் அ வட சுற்றானுங்க துணி துவைக்கிறானுங்க எட போற்றானுங்க தோசை சுடுறாங்க இட்லி சுடுறாங்க தெருவ பெருக்குறானுங்க யாதவ் மதத 40 சி ஆஆ டடத ர பு 7 டத கு ம்ம ட்டி ரதத ee ane அதத் ay ௫ ணக ie ் ட ஆனா ஜெயிச்சா மட்டு தொகுதி பக்கம் வர மாட்ரானுங்க
64,064.jpg,Troll/Oppose,Troll/Oppose Against Party,1,Fi cn afr த பாரு பா இவா ர அக ல் ti i a தீ He ப் 8 மூ சதியா ஐகவகழுவி எத்து ர உஃப்பிய்பு ரு ப் aca ro ட 11796 MONET IL HOU தத்த ia il _ a Zoe ப்ப உ al hes eee ஆ கற்கப் ae eae ML i Bal oe இ jz பை om ப ல் பாரு அவன மபீ௫ும நமபாத
65,065.jpg,Troll/Oppose,Troll/Oppose Against Person,1,காங்கேயம் காளையின் பால் போன்று தூய்மையானது திமுக ஸ்டாலின் உ ம eee il ் ஆனை a 1 VK P ப be ன எற்ரன் தி ் அத்தன பதவ ெச்சதக்கு அறி சத 0800 காளை மாடு கிட்ட பால் கறக்கிறதும் உன்னையை முதல்வராக்குவதும் ஒன்
67,067.jpg,Troll/Oppose,Troll/Oppose Against Person,1,் ் மப பதத பதன து டட ௫ ல் ட கை a 7 ற் த Be Sy Creal a க இ அடக் ய பூ ey O 7g ae Ae லி றந்த திமுகவினர் யாரும் கண்ணியக் குறைவாக பேச வேண்டாம் மு க ஸ்டாலின் அறிவுரை முதலமைச்சர் பதவி என்னோட பல வருஷ கனவுடா அதுல மண்ணள்ளி போட்டுறாதீங்கடா
69,069.jpg,Troll/Oppose,Troll/Oppose Against Person,1,PT Exclusi soe 7 4911051112 ஆட்சி பீடத்தில் தாமரையை ர் ட இது வைக்காமல் டெல்லி 5 ௮ ணி மக்கள் விளக்குமாறை i yy வைத்துள்ளனர் 5 இல கணேசன் 8 ் பரு 0 ஜி பணை இ ல் ara 69220 அதை 2௦௦0 ளி ria Ol 006 Poa டக oo Pan ad பலனை 012 ௦20 ட் அ is i ம் wm 06 4 ஜு அதுல அருந்து என்ன தெரியுது அந்தியாவல விளக்குமாறுக்கு இருக்குற மரியாதை கூட தாமரைக்கு இல்லேன்னு நல்லாவே தெரியுது ஸி
71,071.jpg,Troll/Oppose,Troll/Oppose Against Party,1,Vv vor விஜயபாஸ்கர் ் F ek og ae அ 7 ர் ன ரர அ புட இஇஇஇ ஒருத்தன் என்னடானா எனக்கு சுகர் இருக்கு பிபி இருக்கு ஓட்டு போடுங்றான் கீ Sa oO ற திப் இ ளி ட்ட நஹ டட த்தது ro cae no க 1 a பாடி ௧ ற் ee ப் ம் அஜ இரவை US uae பிரனாப் டா இடன் நத போடுங்குறான் எவனாவது இந்த அஞ்சு வருஷ ஆட்சியில என்ன செஞ்சோம்னு சொல்லி ஓட்டு கேட்குறானுங்களானு பாரு
73,073.jpg,Troll/Oppose,Troll/Oppose Against Person,1,நான் ரயிலில் டீ வித்தது சோதனை a இ இ ப ரயிலையே வித்ததுதான் என் சாதனை
74,074.jpg,Troll/Oppose,Troll/Oppose Against Party,1,pea Kk கதத ததத ததத ட ் மகம ரக ட பல ieee ets ய த 1 க ப பககக ப திட 2 7 படட 0 2 161 அபத பக்த டத பசக 6 மட iets me 4 நண்பு oe a NG பத கன்ட வனி செப தகை I Bere ட தத்தை ததை cee Gs 5 த te oy cae a ws wai eee Be ee sh ஃ ட்டர் ண்ட தை அற் எவனாவது இவிச்சவாயன் மாஸ்க் போடலைன்னா உடனே ஐரைன் போடறது
75,075.jpg,Troll/Oppose,Troll/Oppose Against Party,1,ட்ட foe GK அஷ ர்க ஆ வ ஷு _ ர ௯ ect a SS aa அத்த அனி et த ணை பட a ் பவத க a ட் mo J டட கச் a ee e e ட் ரஈமேஸ்வாம் கடவில் Ay ஓ ல LJ தர் ஆட்ச 2 ச் ் வடை ர ஆ 10 ் கி ஸி _ ry ae எலி a ட்ப ் id ர ye அது கு அ 5 ன சிரிச்சா தானே டா அஇத்த காமெடி பண்ணுவிங்க்
76,076.jpg,Troll/Oppose,Troll/Oppose Against Party,1,னு 7 ae ப்ரி ன தத KS ay ர ந ஜி ட த் i யி 7 6 ் if நீங்க வேனும்னா பாருங்க தேர்தல் முடிஞ்ச உடனே வாக்கு பதிவு இயந்திர பாதுகாக்கபடுர பகுதிகள் மட்டும் iis ட 1 We 5 7 சீ ட்ட ் 1 ளூ 3 a a hil நகும் ் ர ர தி ன ரா ட் mr ட i ர ் மீண்டும் கொரோனா பாதிக்கபட்ட பகுதிகளாக அறிவிக்கபட்டு ஊரடங்க ட்டா அ
77,077.jpg,Troll/Oppose,Troll/Oppose Against Person,1,மக்கள் பணத்தை பிகாள்ளையடித்தவர்களை விடமாட்மடன் ஸ்டாலின் ஆவசம் ர் தி ன் a த் bres y fin inl ர அஷ ரச i பத ட a a கல் aa n ty i k af ட சத்து பஸ்ம Ca ee re 8 a i ் அ y ர்க ் 4 டு ன அள் ட் 3 ட கரி ப ர ss Itss a pare ee வா io ce சுண்ணாடியை பார்த்து பேசிக்கிட்டு இருக்கீங்க தலைவரே
78,078.jpg,Troll/Oppose,Troll/Oppose Against Party,1,தபா ப்பட ம்ப ன பப்பு யப கஷ்டப்பட்டா பாறும் 2 2 231 e y ba Pee நட பெண்க 5 வருசம் ஒரிலை6ப லாமலாம் பப NOU ME NUON TLC அரசியல்
79,079.jpg,Troll/Oppose,Troll/Oppose Against Party,1,oa ந ர ஜல த ஆ 4 eS UM அமித் ட 1 12 ல்ல ் ட ய ra ay ழ் ன Res HM ACK IS VISS ITM Se nfl A ந்து 3 ம் ட அஞ் ai a தவை ் க ts 7 ழி ் 10 ௪ ae ன ரத் சா 4 SS eas
80,080.jpg,Troll/Oppose,Troll/Oppose Against Person,1,பெற்ற தாயும் இல்லை வளர்த்த தாயும் இல்லை அமைச்சர் செல்லூர் ராஜூ wn 4 j Pw a ee we i se ந ரூ அணியை இ இட்து அடப்பாவிங்களா பெற்ற தாயும் இல்ல வளர்த்த தாயும் இல்லாத இந்த பச்ச மண்ணுக்கு மறுபடியும் வைகை ஆத்துல தெர்மோகோல் விட்டு விளையாட வாய்ப்பு கொடுங்கய்யா
82,082.jpg,Troll/Oppose,Troll/Oppose Against Party,1,யாப ayyanar ம் ஆகி ததத அவை ண் ரர 4 இ டக த ட 9 ட் A i அட ட்ட ப ட டர 4 பாஜக இந்த தேர்தலில் 20தொகுதியிலும் வெற்றி பெறும் ் ஜ் கணக்க தை ர னான் தக இத இட்ட ச Lowi ் 7 ஆசி ட்ட carro sp Fy a பாஜக இந்த தேர்தலில் 20 ஓட்டு பெறும்
83,083.jpg,Troll/Oppose,Troll/Oppose Against Party,1,பர J e மாஸ்க் அணிந்தால் A e மட்டுமே ஒட்டு போட அனுமதி 48 ய் ம்க் Lat டட fag ne ay 4 oy aan oe ட் இர் 4 oy ர 2 க 3 ண்கள் ச் இத்த aaa ணை aes இரு ட் sor Was vier uel as SERA Pn eS rea EET coe Gi eG ஜட ந்வவகர் am if pare ல் க் ட்ட CoC ages டட
84,084.jpg,Troll/Oppose,Troll/Oppose Against Person,1,என்னிக்கு உங்க மூஞ்சில முழிச்சனோ டை 11111 ஆச்ச ப த இ ot ee 4 பட்ட BY SB S ் 4 பி a ன ae த் ட் ales ta oe a ச ் ட 3 கூ el Te ப அ ணனகிகு ஆ ் இன்னிக்கு வரை வெளங்க மாட்டேங்குது
85,085.jpg,Troll/Oppose,Troll/Oppose Against Party,1,பார்ப்ப பே போடபோறாங்க கைல காசு ஒருக்காது எந்த கட்சி காரங்க வந்தாலும் காசு வாங்கிடுங்க 72 r 5௮ ala ls ry டப த் ம பய f YDS 257 am எனு மன் யார் வந்து 6கட்டாலும் ஒட்டு ஒங்களுக்கு தான் போட்டோம்னு ப றார்
86,086.jpg,Troll/Oppose,Troll/Oppose Against Person,1,காரைக்குடியீல் ஒஸ் ராஜா ைகடடுலன மக்கள் ஒவள்ளத்தல் கேர்கல் பீரச்சாரம் சர் பணத்த கடா அடகு Ne eS ல் இ ஆ oe ப as ரி ் க் மணவை கபட சற்ற poe எம் 6 et aS க லத் 02 அதது ் ae ட oe eo Sal Lio Apfesdeo 6 6 50 பேர் பருகாயம் ஐ
87,087.jpg,Troll/Oppose,Troll/Oppose Against Person,1,படத் அன ௮ Se eS இதத PTL FIV STINT 0 ௯௯ நபியா gree ee ee பக ணை ன ர ரர Me த து a பு பட்டம் பப oo 1 a டர் ன ட THI ௬௫ காட்௫க்கா
88,088.jpg,Troll/Oppose,Troll/Oppose Against Person,1,ஏய் இங்க பாருடி ஆண்டவர் எவ்வளோ எளிமையா போறாரு a a a ன் ட்ட க ca SA ees 38 டட ma ene னி oe ey சரத்குமார் திரும்பி கொடுத்த 3சீட்டுக்கு ஆள் தேடி போய் கிட்டு இருக்கேன் இவளுக வேற
